A,18,0,18,0,0,0,8,1,0,1,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0,
A1,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Abort,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
About,5,0,2,3,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Absolute,11,1,7,3,0,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Abstract,79,78,1,0,0,78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Abtract,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Accents,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
accept,20,18,2,0,5,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Accepted,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Access,92,2,51,39,0,2,51,31,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,
Accessed,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Accessible,5,0,2,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Accesskeys,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Accessor,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Across,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Action,196,35,56,105,28,35,61,55,12,11,15,6,0,0,0,0,0,0,1,0,0,0,0,0,0,
Actions,18,0,5,13,0,0,4,10,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
activate,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Activated,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Activations,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Active,22,4,8,10,0,4,12,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Activities,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Activity,24,4,19,1,0,4,16,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ad,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Adapter,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
