a,72,5,65,2,2,5,24,20,1,3,12,1,2,4,0,0,0,0,0,0,0,0,0,0,0
abbreviate,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ability,9,0,0,9,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abort,7,7,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aborted,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
About,4,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abs,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absent,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absolute,13,3,8,2,0,3,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abstract,140,137,1,2,0,137,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accept,19,19,0,0,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accepted,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accepting,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Access,57,3,20,34,1,3,17,27,2,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Accessible,3,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accessor,32,1,7,24,0,1,11,9,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accessors,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accumulate,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achieved,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acquire,11,7,0,4,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action,396,11,127,258,7,11,95,164,81,29,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Actionable,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actions,40,1,6,33,1,1,15,10,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activate,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Activated,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Activation,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Active,9,0,8,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Activity,3,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actor,10,0,4,6,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual,10,0,6,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adapt,8,8,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adapted,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adapter,87,4,11,72,2,4,14,32,19,10,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Adapting,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adaptive,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Add,823,764,46,13,102,764,47,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Added,34,4,6,24,3,4,8,15,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Adding,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Addition,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Additional,43,6,37,0,0,6,34,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Address,25,0,5,20,0,0,11,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addresses,6,0,0,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adds,10,2,7,1,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adhoc,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjust,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adjustment,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adresses,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
advance,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advice,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Affected,3,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
After,81,53,19,9,5,53,10,7,7,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Age,10,0,5,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
